name;style;guide_price_usd;bedrooms;bathrooms;Levels;total_built_area_sqft;short_description
bauhu-falcon-900f;Contemporary;178200;2;2;1;900;Compact modern home with high-end fixtures
bauhu-falcon-900;Classic;186000;3;2;1;900;Compact modern home with high-end fixtures
bauhu-falcon-1800f;Contemporary;347500;2;2;1;1800;Single-storey duplex with two self-contained apartments
bauhu-falcon-1800;Classic;364000;3;2;1;1800;Single-storey duplex with two self-contained apartments
bauhu-falcon-3500f;Contemporary;694900;1;1;2;900;Two-storey building with four self-contained apartments
bauhu-falcon-3500;Classic;709300;1;1;2;900;Two-storey building with four self-contained apartments
bauhu-horizon;Contemporary;465000;3;3;1;1900;Sophisticated design personalized to individual taste
bauhu-halo;Contemporary;594000;3;3;1;2420;Well-proportioned family home with covered veranda
bauhu-casita;Contemporary;385000;2;2;1;1800;Two-bedroom home with enclosed outdoor dining area
bauhu-chameleon;Contemporary;311400;3;2;1;1085;Compact three-bedroom with unique covered terrace
bauhu-toucan;Contemporary;322000;3;2;1;1529;Hurricane-resistant sustainable home on grade or elevated
bauhu-hawks-cay-villa;Contemporary;778600;2;2;1;1486;Elegant home with handsome facade and shade screens
bauhu-jimmy-hill;Contemporary;1238700;4;4;1;3980;Architect-designed with contemporary living and seamless indoor-outdoor
bauhu-jimmy-hill;Contemporary;1238700;5;4;1;3980;Architect-designed with contemporary living and seamless indoor-outdoor
bauhu-firefly;Contemporary;488600;3;3;1;2000;Spacious open-plan home with covered dining terrace
bauhu-high-ridge;Contemporary;590800;3;3;1;2153;Classic contemporary architecture with modern interior
bauhu-jamaica;Contemporary;990000;7;7;1;4200;Spacious ultra-stylish villa with roof garden
bauhu-providence;Classic;696800;4;3;1;2230;Four-bedroom home with spacious open-plan living
bauhu-st-thomas;Contemporary;;4;3;1;2900;A three-bedroom home combining classic contemporary architecture with modern interior design.
bauhu-quinta;Contemporary;989400;3;3;1;3230;Contemporary villa with expansive open-plan living
bauhu-son-faro;Contemporary;370550;2;1;1;1937;Sophisticated single-storey villa design
bauhu-cap-dantibes;Contemporary;1000000;5;5;2;5486;Custom distinctive design with personalized finishes
bauhu-casa-lavanda;Contemporary;1268000;4;4;2;5145;Custom distinctive design with personalized finishes
bauhu-grenada-luxe;Contemporary;287700;1;1;1;800;Stylish guest suite/pied a terre with roof garden option
bauhu-serenity-heights;Contemporary;1130000;4;4;2;3768;Contemporary two-storey with optional guest suite
bauhu-nova;Contemporary;910000;4;4.5;2;3500;Stylish modern villa designed for sloping sites.
bauhu-north-beach;Contemporary;776300;4;4;1;2530;Spacious home with unique architectural detailing
bauhu-palmetto;Contemporary;790000;3;3.5 ;2;3000;Classic island style villa.
bauhu-emerald-bay;Contemporary;990800;8;8;2;5534;Architect-designed multi-resident condominium building
bauhu-red-hawk-ridge;Contemporary;928300;3;2;1;2470;Custom distinctive design with personalized finishes
bauhu-28;Contemporary;89000;1;1;1;301;Hurricane-resistant modular hospitality pod
bauhu-36;Contemporary;112000;1;1;1;387;Hurricane-resistant hospitality pod with bedroom and bathroom
bauhu-39;Contemporary;119000;1;1;1;419;Hurricane-resistant pod with en-suite bedroom
bauhu-44;Contemporary;137000;2;2;1;473;Hurricane-resistant hospitality pod with two bedrooms
